x,y,event,description,ordinalNum
66.0,-15.0,Missed Shot,Jaccob Slavin Wide of Net Kevin  Lankinen,3rd
80.0,6.0,Shot,Jordan Staal Backhand saved by Kevin Lankinen,3rd
41.0,-9.0,Missed Shot,Teuvo Teravainen Wide of Net Kevin  Lankinen,3rd
82.0,5.0,Shot,Steven Lorentz Wrist Shot saved by Kevin Lankinen,3rd
62.0,-5.0,Shot,Derek Stepan Wrist Shot saved by Kevin Lankinen,3rd
53.0,-38.0,Shot,Brady Skjei Snap Shot saved by Karel Vejmelka,1st
66.0,34.0,Missed Shot,Martin Necas Wide of Net Karel Vejmelka,1st
38.0,37.0,Shot,Ethan Bear Slap Shot saved by Karel Vejmelka,1st
83.0,-6.0,Shot,Andrei Svechnikov Deflected saved by Karel Vejmelka,1st
79.0,2.0,Shot,Steven Lorentz Tip-In saved by Karel Vejmelka,1st
55.0,-40.0,Missed Shot,Jaccob Slavin Wide of Net Karel Vejmelka,1st
80.0,4.0,Missed Shot,Sebastian Aho Wide of Net Karel Vejmelka,1st
77.0,-7.0,Missed Shot,Andrei Svechnikov Wide of Net Karel Vejmelka,1st
56.0,28.0,Missed Shot,Seth Jarvis Wide of Net Karel Vejmelka,1st
81.0,1.0,Shot,Jordan Staal Wrist Shot saved by Karel Vejmelka,1st
76.0,-6.0,Shot,Martin Necas Wrist Shot saved by Karel Vejmelka,1st
79.0,12.0,Missed Shot,Jaccob Slavin Wide of Net Karel Vejmelka,1st
39.0,-33.0,Missed Shot,Jesper Fast Wide of Net Karel Vejmelka,1st
40.0,-30.0,Missed Shot,Jordan Martinook Wide of Net Karel Vejmelka,1st
38.0,-1.0,Shot,Andrei Svechnikov Snap Shot saved by Karel Vejmelka,1st
81.0,-6.0,Shot,Andrei Svechnikov Snap Shot saved by Karel Vejmelka,1st
56.0,-15.0,Shot,Jaccob Slavin Snap Shot saved by Karel Vejmelka,1st
42.0,-29.0,Shot,Jaccob Slavin Slap Shot saved by Karel Vejmelka,1st
51.0,20.0,Missed Shot,Teuvo Teravainen Over Net Karel Vejmelka,1st
85.0,10.0,Missed Shot,Teuvo Teravainen Wide of Net Karel Vejmelka,1st
39.0,24.0,Shot,Tony DeAngelo Slap Shot saved by Karel Vejmelka,1st
41.0,28.0,Shot,Sebastian Aho Slap Shot saved by Karel Vejmelka,1st
68.0,-13.0,Shot,Jordan Staal Snap Shot saved by Karel Vejmelka,1st
63.0,32.0,Shot,Teuvo Teravainen Wrist Shot saved by Karel Vejmelka,2nd
79.0,0.0,Missed Shot,Steven Lorentz Goalpost Karel Vejmelka,2nd
42.0,-14.0,Missed Shot,Martin Necas Wide of Net Karel Vejmelka,2nd
69.0,-1.0,Shot,Teuvo Teravainen Snap Shot saved by Karel Vejmelka,2nd
66.0,7.0,Missed Shot,Sebastian Aho Wide of Net Karel Vejmelka,2nd
42.0,-17.0,Shot,Brett Pesce Snap Shot saved by Karel Vejmelka,2nd
47.0,-4.0,Shot,Martin Necas Wrist Shot saved by Karel Vejmelka,2nd
46.0,-32.0,Shot,Tony DeAngelo Snap Shot saved by Karel Vejmelka,2nd
39.0,-22.0,Shot,Tony DeAngelo Slap Shot saved by Karel Vejmelka,2nd
83.0,-3.0,Missed Shot,Ethan Bear Wide of Net Karel Vejmelka,2nd
83.0,27.0,Shot,Jaccob Slavin Wrist Shot saved by Karel Vejmelka,2nd
73.0,6.0,Shot,Jesper Fast Wrist Shot saved by Karel Vejmelka,2nd
35.0,9.0,Shot,Ian Cole Slap Shot saved by Karel Vejmelka,2nd
82.0,7.0,Shot,Brady Skjei Wrist Shot saved by Karel Vejmelka,2nd
86.0,7.0,Shot,Vincent Trocheck Tip-In saved by Karel Vejmelka,2nd
72.0,2.0,Missed Shot,Martin Necas Wide of Net Karel Vejmelka,2nd
68.0,8.0,Shot,Derek Stepan Snap Shot saved by Karel Vejmelka,2nd
29.0,1.0,Goal,Martin Necas (1) Slap Shot, assists: Tony DeAngelo (7), Jordan Martinook (2),2nd
76.0,35.0,Shot,Steven Lorentz Snap Shot saved by Karel Vejmelka,2nd
1.0,22.0,Shot,Ethan Bear Wrist Shot saved by Karel Vejmelka,3rd
77.0,-5.0,Shot,Jesper Fast Snap Shot saved by Karel Vejmelka,3rd
55.0,31.0,Shot,Ethan Bear Snap Shot saved by Karel Vejmelka,3rd
32.0,-3.0,Shot,Brett Pesce Wrist Shot saved by Karel Vejmelka,3rd
71.0,29.0,Missed Shot,Brett Pesce Wide of Net Karel Vejmelka,3rd
75.0,6.0,Shot,Teuvo Teravainen Snap Shot saved by Karel Vejmelka,3rd
82.0,0.0,Shot,Brett Pesce Wrist Shot saved by Karel Vejmelka,3rd
69.0,-15.0,Shot,Sebastian Aho Snap Shot saved by Karel Vejmelka,3rd
82.0,-32.0,Shot,Jesperi Kotkaniemi Snap Shot saved by Karel Vejmelka,3rd
79.0,3.0,Missed Shot,Jordan Martinook Wide of Net Karel Vejmelka,3rd
70.0,-3.0,Shot,Steven Lorentz Snap Shot saved by Karel Vejmelka,3rd
90.0,6.0,Missed Shot,Andrei Svechnikov Wide of Net Karel Vejmelka,3rd
56.0,-29.0,Shot,Brady Skjei Snap Shot saved by Karel Vejmelka,3rd
89.0,-13.0,Missed Shot,Jordan Martinook Wide of Net Karel Vejmelka,3rd
61.0,29.0,Shot,Martin Necas Snap Shot saved by Karel Vejmelka,3rd
41.0,-2.0,Goal,Brett Pesce (1) Slap Shot, assists: Martin Necas (3), Seth Jarvis (1),3rd
51.0,-34.0,Missed Shot,Jesper Fast Wide of Net Marc-Andre Fleury,1st
42.0,-29.0,Shot,Brett Pesce Snap Shot saved by Marc-Andre Fleury,1st
58.0,4.0,Shot,Martin Necas Backhand saved by Marc-Andre Fleury,1st
65.0,16.0,Goal,Derek Stepan (2) Slap Shot, assists: Tony DeAngelo (8), Andrei Svechnikov (5),1st
39.0,-32.0,Shot,Tony DeAngelo Wrist Shot saved by Marc-Andre Fleury,1st
39.0,-23.0,Shot,Ethan Bear Wrist Shot saved by Marc-Andre Fleury,1st
34.0,-4.0,Shot,Tony DeAngelo Slap Shot saved by Marc-Andre Fleury,1st
38.0,-25.0,Shot,Vincent Trocheck Slap Shot saved by Marc-Andre Fleury,1st
83.0,-9.0,Shot,Sebastian Aho Wrist Shot saved by Marc-Andre Fleury,1st
65.0,5.0,Shot,Sebastian Aho Wrist Shot saved by Marc-Andre Fleury,1st
54.0,9.0,Shot,Vincent Trocheck Deflected saved by Marc-Andre Fleury,1st
46.0,-4.0,Missed Shot,Martin Necas Wide of Net Marc-Andre Fleury,1st
63.0,11.0,Shot,Jordan Martinook Wrist Shot saved by Marc-Andre Fleury,1st
65.0,-2.0,Missed Shot,Seth Jarvis Wide of Net Marc-Andre Fleury,1st
37.0,25.0,Shot,Ian Cole Wrist Shot saved by Marc-Andre Fleury,1st
45.0,14.0,Missed Shot,Ethan Bear Wide of Net Marc-Andre Fleury,2nd
31.0,12.0,Shot,Brady Skjei Wrist Shot saved by Marc-Andre Fleury,2nd
67.0,-12.0,Missed Shot,Jordan Martinook Wide of Net Marc-Andre Fleury,2nd
71.0,-12.0,Missed Shot,Jordan Martinook Over Net Marc-Andre Fleury,2nd
69.0,-3.0,Shot,Steven Lorentz Backhand saved by Marc-Andre Fleury,2nd
73.0,3.0,Shot,Jordan Staal Wrist Shot saved by Marc-Andre Fleury,2nd
41.0,4.0,Shot,Jesper Fast Snap Shot saved by Marc-Andre Fleury,2nd
76.0,-26.0,Shot,Teuvo Teravainen Wrist Shot saved by Marc-Andre Fleury,2nd
65.0,23.0,Shot,Vincent Trocheck Snap Shot saved by Marc-Andre Fleury,2nd
71.0,-2.0,Goal,Seth Jarvis (1) Wrist Shot, assists: Derek Stepan (1),2nd
46.0,-28.0,Missed Shot,Andrei Svechnikov Wide of Net Marc-Andre Fleury,2nd
57.0,-2.0,Shot,Vincent Trocheck Snap Shot saved by Marc-Andre Fleury,2nd
81.0,-19.0,Shot,Andrei Svechnikov Wrist Shot saved by Marc-Andre Fleury,2nd
55.0,-23.0,Shot,Ian Cole Snap Shot saved by Marc-Andre Fleury,2nd
49.0,-11.0,Missed Shot,Jordan Staal Wide of Net Marc-Andre Fleury,2nd
87.0,-11.0,Shot,Andrei Svechnikov Wrist Shot saved by Marc-Andre Fleury,2nd
87.0,-8.0,Shot,Jesper Fast Wrist Shot saved by Marc-Andre Fleury,2nd
87.0,-5.0,Shot,Jesper Fast Wrist Shot saved by Marc-Andre Fleury,2nd
76.0,-11.0,Missed Shot,Sebastian Aho Wide of Net Marc-Andre Fleury,2nd
61.0,4.0,Goal,Jesper Fast (4) Wrist Shot, assists: Andrei Svechnikov (6), Jaccob Slavin (7),3rd
46.0,-13.0,Goal,Martin Necas (2) Snap Shot, assists: Sebastian Aho (6), Ethan Bear (4),3rd
88.0,-9.0,Shot,Andrei Svechnikov Backhand saved by Marc-Andre Fleury,3rd
75.0,22.0,Shot,Teuvo Teravainen Slap Shot saved by Marc-Andre Fleury,3rd
69.0,-5.0,Missed Shot,Jordan Staal Wide of Net Marc-Andre Fleury,3rd
63.0,2.0,Shot,Sebastian Aho Wrist Shot saved by Marc-Andre Fleury,3rd
74.0,13.0,Shot,Sebastian Aho Wrist Shot saved by Marc-Andre Fleury,3rd
36.0,11.0,Shot,Sebastian Aho Snap Shot saved by Marc-Andre Fleury,3rd
34.0,26.0,Missed Shot,Brady Skjei Wide of Net Marc-Andre Fleury,3rd
57.0,-14.0,Missed Shot,Jaccob Slavin Wide of Net,3rd
41.0,9.0,Missed Shot,Brady Skjei Wide of Net Spencer Knight,1st
48.0,33.0,Shot,Andrei Svechnikov Slap Shot saved by Spencer Knight,1st
46.0,-19.0,Shot,Jaccob Slavin Snap Shot saved by Spencer Knight,1st
58.0,-2.0,Shot,Sebastian Aho Snap Shot saved by Spencer Knight,1st
74.0,31.0,Missed Shot,Martin Necas Wide of Net Spencer Knight,1st
29.0,21.0,Shot,Brendan Smith Slap Shot saved by Spencer Knight,1st
43.0,-27.0,Missed Shot,Teuvo Teravainen Wide of Net Spencer Knight,1st
70.0,2.0,Shot,Sebastian Aho Tip-In saved by Spencer Knight,1st
71.0,31.0,Missed Shot,Tony DeAngelo Wide of Net Spencer Knight,1st
74.0,-8.0,Missed Shot,Sebastian Aho Wide of Net Spencer Knight,1st
61.0,-13.0,Shot,Jaccob Slavin Backhand saved by Spencer Knight,1st
41.0,23.0,Shot,Jaccob Slavin Slap Shot saved by Spencer Knight,2nd
76.0,-9.0,Shot,Seth Jarvis Slap Shot saved by Spencer Knight,2nd
75.0,-10.0,Shot,Seth Jarvis Slap Shot saved by Spencer Knight,2nd
61.0,-8.0,Shot,Ethan Bear Slap Shot saved by Spencer Knight,2nd
76.0,-17.0,Missed Shot,Derek Stepan Wide of Net Spencer Knight,2nd
59.0,-23.0,Shot,Derek Stepan Snap Shot saved by Spencer Knight,2nd
68.0,22.0,Shot,Andrei Svechnikov Snap Shot saved by Spencer Knight,2nd
74.0,2.0,Goal,Jesper Fast (5) Snap Shot, assists: Jaccob Slavin (8), Vincent Trocheck (7),2nd
58.0,32.0,Missed Shot,Teuvo Teravainen Wide of Net Spencer Knight,2nd
68.0,-17.0,Shot,Ethan Bear Slap Shot saved by Spencer Knight,2nd
74.0,16.0,Missed Shot,Seth Jarvis Wide of Net Spencer Knight,2nd
41.0,7.0,Missed Shot,Jaccob Slavin Wide of Net Spencer Knight,2nd
59.0,21.0,Shot,Sebastian Aho Snap Shot saved by Spencer Knight,2nd
77.0,1.0,Goal,Vincent Trocheck (3) Snap Shot, assists: Andrei Svechnikov (7), Teuvo Teravainen (7),2nd
2.0,2.0,Shot,Martin Necas Snap Shot saved by Spencer Knight,2nd
75.0,15.0,Shot,Derek Stepan Snap Shot saved by Spencer Knight,2nd
59.0,-37.0,Missed Shot,Steven Lorentz Wide of Net Spencer Knight,2nd
52.0,1.0,Shot,Seth Jarvis Slap Shot saved by Spencer Knight,2nd
98.0,20.0,Shot,Sebastian Aho Snap Shot saved by Spencer Knight,2nd
52.0,7.0,Shot,Jesper Fast Snap Shot saved by Spencer Knight,3rd
77.0,-2.0,Shot,Sebastian Aho Tip-In saved by Spencer Knight,3rd
40.0,36.0,Shot,Derek Stepan Snap Shot saved by Spencer Knight,3rd
77.0,11.0,Missed Shot,Andrei Svechnikov Wide of Net Spencer Knight,3rd
40.0,14.0,Missed Shot,Brady Skjei Wide of Net Spencer Knight,3rd
68.0,1.0,Shot,Derek Stepan Tip-In saved by Spencer Knight,3rd
49.0,15.0,Missed Shot,Andrei Svechnikov Wide of Net Spencer Knight,3rd
53.0,-21.0,Shot,Martin Necas Slap Shot saved by Spencer Knight,3rd
56.0,17.0,Shot,Martin Necas Snap Shot saved by Spencer Knight,3rd
40.0,21.0,Missed Shot,Sebastian Aho Wide of Net Spencer Knight,3rd
67.0,29.0,Shot,Martin Necas Slap Shot saved by Spencer Knight,3rd
31.0,39.0,Shot,Jaccob Slavin Snap Shot saved by Spencer Knight,3rd
78.0,9.0,Shot,Sebastian Aho Snap Shot saved by Spencer Knight,3rd
78.0,-10.0,Shot,Andrei Svechnikov Snap Shot saved by Spencer Knight,3rd
84.0,-7.0,Shot,Andrei Svechnikov Wrap-around saved by Spencer Knight,3rd
61.0,-4.0,Missed Shot,Sebastian Aho Wide of Net Spencer Knight,3rd
83.0,21.0,Shot,Seth Jarvis Snap Shot saved by Spencer Knight,3rd
38.0,-23.0,Shot,Jaccob Slavin Wrist Shot saved by Andrei Vasilevskiy,1st
68.0,-7.0,Shot,Sebastian Aho Wrist Shot saved by Andrei Vasilevskiy,1st
61.0,13.0,Missed Shot,Jesper Fast Wide of Net Andrei Vasilevskiy,1st
37.0,17.0,Shot,Tony DeAngelo Wrist Shot saved by Andrei Vasilevskiy,1st
34.0,-21.0,Missed Shot,Brendan Smith Wide of Net Andrei Vasilevskiy,1st
88.0,6.0,Shot,Jordan Staal Wrap-around saved by Andrei Vasilevskiy,1st
82.0,6.0,Shot,Jordan Staal Wrist Shot saved by Andrei Vasilevskiy,1st
69.0,-17.0,Shot,Seth Jarvis Wrist Shot saved by Andrei Vasilevskiy,1st
65.0,27.0,Shot,Teuvo Teravainen Slap Shot saved by Andrei Vasilevskiy,1st
35.0,32.0,Shot,Tony DeAngelo Wrist Shot saved by Andrei Vasilevskiy,1st
37.0,23.0,Shot,Ethan Bear Wrist Shot saved by Andrei Vasilevskiy,1st
34.0,-26.0,Shot,Jaccob Slavin Wrist Shot saved by Andrei Vasilevskiy,1st
53.0,7.0,Missed Shot,Teuvo Teravainen Wide of Net Andrei Vasilevskiy,1st
83.0,-7.0,Missed Shot,Sebastian Aho Wide of Net Andrei Vasilevskiy,1st
39.0,-19.0,Shot,Tony DeAngelo Wrist Shot saved by Andrei Vasilevskiy,1st
38.0,-24.0,Shot,Jaccob Slavin Wrist Shot saved by Andrei Vasilevskiy,1st
62.0,14.0,Shot,Sebastian Aho Slap Shot saved by Andrei Vasilevskiy,2nd
64.0,-16.0,Shot,Teuvo Teravainen Wrist Shot saved by Andrei Vasilevskiy,2nd
49.0,20.0,Shot,Teuvo Teravainen Slap Shot saved by Andrei Vasilevskiy,2nd
52.0,-8.0,Shot,Teuvo Teravainen Slap Shot saved by Andrei Vasilevskiy,2nd
73.0,-18.0,Shot,Sebastian Aho Wrist Shot saved by Andrei Vasilevskiy,2nd
58.0,-7.0,Missed Shot,Sebastian Aho Wide of Net Andrei Vasilevskiy,2nd
60.0,-21.0,Shot,Martin Necas Wrist Shot saved by Andrei Vasilevskiy,2nd
82.0,-1.0,Shot,Jesper Fast Wrist Shot saved by Andrei Vasilevskiy,2nd
68.0,0.0,Missed Shot,Andrei Svechnikov Wide of Net Andrei Vasilevskiy,2nd
82.0,12.0,Missed Shot,Jordan Staal Wide of Net Andrei Vasilevskiy,2nd
78.0,-20.0,Shot,Martin Necas Wrist Shot saved by Andrei Vasilevskiy,2nd
63.0,-19.0,Shot,Ian Cole Wrist Shot saved by Andrei Vasilevskiy,2nd
60.0,22.0,Shot,Brady Skjei Wrist Shot saved by Andrei Vasilevskiy,2nd
41.0,-21.0,Missed Shot,Brendan Smith Wide of Net Andrei Vasilevskiy,3rd
49.0,-29.0,Shot,Brady Skjei Wrist Shot saved by Andrei Vasilevskiy,3rd
41.0,-22.0,Shot,Jaccob Slavin Slap Shot saved by Andrei Vasilevskiy,3rd
41.0,-27.0,Shot,Jesper Fast Wrist Shot saved by Andrei Vasilevskiy,3rd
55.0,2.0,Missed Shot,Sebastian Aho Wide of Net Andrei Vasilevskiy,3rd
81.0,-6.0,Shot,Andrei Svechnikov Wrist Shot saved by Andrei Vasilevskiy,3rd
78.0,15.0,Goal,Teuvo Teravainen (3) Snap Shot, assists: Vincent Trocheck (8), Andrei Svechnikov (8),3rd
76.0,-6.0,Shot,Steven Lorentz Wrist Shot saved by Andrei Vasilevskiy,3rd
72.0,23.0,Shot,Teuvo Teravainen Slap Shot saved by Andrei Vasilevskiy,3rd
77.0,-22.0,Shot,Jaccob Slavin Snap Shot saved by Andrei Vasilevskiy,3rd
81.0,8.0,Missed Shot,Jesper Fast Wide of Net Andrei Vasilevskiy,3rd
79.0,-16.0,Missed Shot,Martin Necas Wide of Net Andrei Vasilevskiy,OT
65.0,6.0,Goal,Martin Necas (3) Wrist Shot, assists: Sebastian Aho (7), Tony DeAngelo (9),OT
2.0,-30.0,Shot,Brendan Smith Wrist Shot saved by Carter Hart,1st
75.0,40.0,Shot,Teuvo Teravainen Wrist Shot saved by Carter Hart,1st
51.0,-27.0,Shot,Brady Skjei Slap Shot saved by Carter Hart,1st
77.0,2.0,Shot,Sebastian Aho Wrist Shot saved by Carter Hart,1st
80.0,-2.0,Shot,Sebastian Aho Wrist Shot saved by Carter Hart,1st
45.0,30.0,Shot,Ian Cole Slap Shot saved by Carter Hart,1st
56.0,1.0,Missed Shot,Tony DeAngelo Wide of Net Carter Hart,1st
87.0,-7.0,Missed Shot,Vincent Trocheck Wide of Net Carter Hart,1st
65.0,-9.0,Shot,Andrei Svechnikov Snap Shot saved by Carter Hart,1st
52.0,2.0,Shot,Teuvo Teravainen Snap Shot saved by Carter Hart,1st
5.0,39.0,Shot,Vincent Trocheck Wrist Shot saved by Carter Hart,1st
80.0,-1.0,Missed Shot,Jordan Staal Wide of Net Carter Hart,1st
45.0,-29.0,Shot,Jordan Staal Wrist Shot saved by Carter Hart,1st
46.0,35.0,Shot,Ethan Bear Wrist Shot saved by Carter Hart,1st
59.0,14.0,Shot,Tony DeAngelo Slap Shot saved by Carter Hart,1st
84.0,16.0,Missed Shot,Teuvo Teravainen Wide of Net Carter Hart,1st
81.0,-1.0,Shot,Jordan Staal Wrist Shot saved by Carter Hart,1st
28.0,34.0,Shot,Ian Cole Slap Shot saved by Carter Hart,2nd
32.0,29.0,Shot,Brendan Smith Slap Shot saved by Carter Hart,2nd
90.0,-6.0,Shot,Vincent Trocheck Wrist Shot saved by Carter Hart,2nd
79.0,5.0,Missed Shot,Jordan Martinook Wide of Net Carter Hart,2nd
84.0,17.0,Shot,Josh Leivo Backhand saved by Carter Hart,2nd
84.0,17.0,Shot,Andrei Svechnikov Wrist Shot saved by Carter Hart,2nd
81.0,-2.0,Shot,Steven Lorentz Tip-In saved by Carter Hart,2nd
33.0,-34.0,Missed Shot,Tony DeAngelo Wide of Net Carter Hart,2nd
89.0,-31.0,Shot,Josh Leivo Wrist Shot saved by Carter Hart,2nd
9.0,-40.0,Shot,Derek Stepan Wrist Shot saved by Carter Hart,2nd
60.0,8.0,Missed Shot,Jordan Staal Wide of Net Carter Hart,2nd
82.0,-6.0,Goal,Steven Lorentz (2) Deflected, assists: Jesper Fast (2), Jordan Staal (4),2nd
53.0,25.0,Shot,Jaccob Slavin Slap Shot saved by Carter Hart,2nd
80.0,3.0,Missed Shot,Sebastian Aho Wide of Net Carter Hart,2nd
84.0,9.0,Shot,Sebastian Aho Tip-In saved by Carter Hart,2nd
62.0,-23.0,Missed Shot,Teuvo Teravainen Wide of Net Carter Hart,2nd
52.0,28.0,Missed Shot,Andrei Svechnikov Wide of Net Carter Hart,2nd
56.0,12.0,Shot,Jordan Staal Snap Shot saved by Carter Hart,2nd
64.0,24.0,Missed Shot,Jaccob Slavin Wide of Net Carter Hart,2nd
82.0,-32.0,Shot,Jesper Fast Wrist Shot saved by Carter Hart,2nd
66.0,24.0,Missed Shot,Jesperi Kotkaniemi Wide of Net Carter Hart,2nd
76.0,8.0,Shot,Andrei Svechnikov Wrist Shot saved by Carter Hart,2nd
81.0,2.0,Shot,Sebastian Aho Wrist Shot saved by Carter Hart,2nd
82.0,-15.0,Shot,Tony DeAngelo Backhand saved by Carter Hart,3rd
65.0,-15.0,Shot,Jordan Staal Snap Shot saved by Carter Hart,3rd
77.0,-1.0,Missed Shot,Vincent Trocheck Wide of Net Carter Hart,3rd
80.0,-2.0,Missed Shot,Teuvo Teravainen Wide of Net Carter Hart,3rd
88.0,5.0,Shot,Jesper Fast Backhand saved by Carter Hart,3rd
63.0,-3.0,Missed Shot,Jaccob Slavin Wide of Net Carter Hart,3rd
44.0,23.0,Shot,Teuvo Teravainen Slap Shot saved by Carter Hart,3rd
78.0,4.0,Missed Shot,Teuvo Teravainen Goalpost Carter Hart,3rd
47.0,-30.0,Missed Shot,Steven Lorentz Over Net Carter Hart,3rd
69.0,10.0,Shot,Derek Stepan Snap Shot saved by Carter Hart,3rd
73.0,7.0,Shot,Derek Stepan Wrist Shot saved by Carter Hart,3rd
81.0,-6.0,Shot,Jordan Martinook Backhand saved by Carter Hart,3rd
68.0,-36.0,Shot,Brady Skjei Wrist Shot saved by Carter Hart,3rd
78.0,-17.0,Shot,Vincent Trocheck Wrist Shot saved by Carter Hart,3rd
89.0,6.0,Shot,Jesperi Kotkaniemi Wrap-around saved by Carter Hart,3rd
72.0,-14.0,Shot,Sebastian Aho Snap Shot saved by Carter Hart,3rd
58.0,-4.0,Shot,Andrei Svechnikov Snap Shot saved by Carter Hart,3rd
80.0,7.0,Missed Shot,Seth Jarvis Wide of Net Joel Hofer,1st
71.0,-13.0,Goal,Brady Skjei (1) Snap Shot, assists: Sebastian Aho (8), Andrei Svechnikov (9),1st
48.0,-22.0,Shot,Teuvo Teravainen Slap Shot saved by Joel Hofer,1st
35.0,-31.0,Missed Shot,Brady Skjei Wide of Net Joel Hofer,1st
80.0,-16.0,Shot,Derek Stepan Snap Shot saved by Joel Hofer,1st
32.0,7.0,Shot,Tony DeAngelo Slap Shot saved by Joel Hofer,1st
40.0,-23.0,Missed Shot,Tony DeAngelo Over Net Joel Hofer,1st
78.0,3.0,Shot,Sebastian Aho Wrist Shot saved by Joel Hofer,1st
80.0,1.0,Missed Shot,Sebastian Aho Wide of Net Joel Hofer,1st
52.0,22.0,Missed Shot,Seth Jarvis Wide of Net Joel Hofer,1st
35.0,8.0,Shot,Jaccob Slavin Slap Shot saved by Joel Hofer,1st
71.0,40.0,Shot,Tony DeAngelo Snap Shot saved by Joel Hofer,1st
54.0,-39.0,Shot,Ethan Bear Snap Shot saved by Joel Hofer,2nd
61.0,-30.0,Shot,Vincent Trocheck Slap Shot saved by Joel Hofer,2nd
40.0,-23.0,Shot,Ian Cole Slap Shot saved by Joel Hofer,2nd
70.0,-21.0,Goal,Sebastian Aho (6) Slap Shot, assists: Tony DeAngelo (10), Andrei Svechnikov (10),2nd
33.0,-31.0,Shot,Ethan Bear Slap Shot saved by Joel Hofer,2nd
80.0,9.0,Missed Shot,Teuvo Teravainen Wide of Net Joel Hofer,2nd
32.0,29.0,Shot,Brady Skjei Slap Shot saved by Joel Hofer,2nd
78.0,-7.0,Missed Shot,Jesperi Kotkaniemi Wide of Net Joel Hofer,2nd
64.0,8.0,Missed Shot,Brady Skjei Wide of Net Joel Hofer,2nd
64.0,-11.0,Missed Shot,Sebastian Aho Wide of Net Joel Hofer,2nd
52.0,3.0,Shot,Sebastian Aho Wrist Shot saved by Joel Hofer,2nd
67.0,-14.0,Missed Shot,Teuvo Teravainen Wide of Net Joel Hofer,2nd
36.0,-23.0,Missed Shot,Brady Skjei Wide of Net Joel Hofer,2nd
80.0,16.0,Shot,Jaccob Slavin Wrist Shot saved by Joel Hofer,2nd
91.0,-10.0,Missed Shot,Seth Jarvis Wide of Net Joel Hofer,2nd
80.0,-2.0,Shot,Andrei Svechnikov Wrist Shot saved by Joel Hofer,2nd
1.0,19.0,Shot,Seth Jarvis Deflected saved by Joel Hofer,3rd
43.0,-14.0,Shot,Brady Skjei Slap Shot saved by Joel Hofer,3rd
53.0,27.0,Missed Shot,Tony DeAngelo Wide of Net Joel Hofer,3rd
81.0,-1.0,Shot,Jordan Staal Tip-In saved by Joel Hofer,3rd
48.0,33.0,Missed Shot,Ethan Bear Wide of Net Joel Hofer,3rd
57.0,-25.0,Shot,Brady Skjei Slap Shot saved by Joel Hofer,3rd
70.0,2.0,Missed Shot,Jesperi Kotkaniemi Wide of Net Joel Hofer,3rd
37.0,22.0,Shot,Ethan Bear Snap Shot saved by Joel Hofer,3rd
55.0,1.0,Shot,Sebastian Aho Wrist Shot saved by Joel Hofer,3rd
84.0,11.0,Missed Shot,Jaccob Slavin Wide of Net Joel Hofer,3rd
45.0,12.0,Shot,Jordan Martinook Snap Shot saved by Joel Hofer,3rd
34.0,-14.0,Goal,Brendan Smith (1) Slap Shot, assists: Tony DeAngelo (11), Jordan Martinook (3),3rd
83.0,16.0,Shot,Jordan Staal Snap Shot saved by Robin Lehner,1st
80.0,6.0,Shot,Seth Jarvis Backhand saved by Robin Lehner,1st
71.0,0.0,Shot,Sebastian Aho Wrist Shot saved by Robin Lehner,1st
38.0,-4.0,Shot,Teuvo Teravainen Wrist Shot saved by Robin Lehner,1st
52.0,8.0,Shot,Brady Skjei Wrist Shot saved by Robin Lehner,1st
69.0,-22.0,Missed Shot,Martin Necas Wide of Net Robin Lehner,1st
83.0,-37.0,Shot,Jordan Martinook Backhand saved by Robin Lehner,1st
37.0,-38.0,Shot,Steven Lorentz Backhand saved by Robin Lehner,1st
31.0,-36.0,Shot,Ian Cole Slap Shot saved by Robin Lehner,1st
86.0,8.0,Shot,Jordan Staal Wrist Shot saved by Robin Lehner,1st
40.0,28.0,Missed Shot,Ethan Bear Wide of Net Robin Lehner,1st
59.0,-22.0,Goal,Tony DeAngelo (3) Wrist Shot, assists: Martin Necas (4), Vincent Trocheck (9),1st
84.0,8.0,Shot,Seth Jarvis Wrist Shot saved by Robin Lehner,1st
51.0,-4.0,Shot,Jordan Martinook Wrist Shot saved by Robin Lehner,1st
51.0,24.0,Shot,Sebastian Aho Slap Shot saved by Robin Lehner,1st
49.0,-32.0,Shot,Teuvo Teravainen Wrist Shot saved by Robin Lehner,1st
69.0,3.0,Goal,Sebastian Aho (7) Wrist Shot, assists: Teuvo Teravainen (8), Andrei Svechnikov (11),1st
93.0,10.0,Shot,Jaccob Slavin Wrist Shot saved by Robin Lehner,2nd
32.0,-37.0,Missed Shot,Jaccob Slavin Wide of Net Robin Lehner,2nd
31.0,7.0,Shot,Ethan Bear Wrist Shot saved by Robin Lehner,2nd
13.0,17.0,Shot,Vincent Trocheck Wrist Shot saved by Robin Lehner,2nd
70.0,-5.0,Missed Shot,Seth Jarvis Wide of Net Robin Lehner,2nd
46.0,-20.0,Missed Shot,Brendan Smith Wide of Net Robin Lehner,2nd
46.0,-33.0,Shot,Ian Cole Wrist Shot saved by Robin Lehner,2nd
74.0,-4.0,Shot,Sebastian Aho Backhand saved by Robin Lehner,2nd
72.0,-6.0,Shot,Sebastian Aho Wrist Shot saved by Robin Lehner,2nd
83.0,-5.0,Missed Shot,Jordan Martinook Wide of Net Robin Lehner,2nd
